type,original,placeholder,file,line,role
import_from,ClusterBasedRecommender,module_l1_012,gcpdeploy\src\trainer\train.py,22,module
function,kmeans_clustering,utility_func_007,gcpdeploy\src\trainer\train.py,33,utility
parameter,df_cleaned,param_060,gcpdeploy\src\trainer\train.py,33,parameter
parameter,df_pca,param_061,gcpdeploy\src\trainer\train.py,33,parameter
parameter,number_of_clusters,param_062,gcpdeploy\src\trainer\train.py,33,parameter
function,save_and_upload_model,data_saver_func_003,gcpdeploy\src\trainer\train.py,58,data_saver
parameter,model,param_034,gcpdeploy\src\trainer\train.py,58,parameter
parameter,local_model_path,param_046,gcpdeploy\src\trainer\train.py,58,parameter
parameter,gcs_model_path,param_047,gcpdeploy\src\trainer\train.py,58,parameter
function,main,pipeline_func_002,gcpdeploy\src\trainer\train.py,75,pipeline
function,handle_anomalous_codes,data_cleaning_func_001,src\anomaly_code_handler.py,16,data_cleaning
parameter,input_pickle_path,param_001,src\anomaly_code_handler.py,16,parameter
parameter,output_pickle_path,param_002,src\anomaly_code_handler.py,16,parameter
function,cancellation_details,feature_engineering_func_001,src\cancellation_details.py,16,feature_engineering
parameter,input_pickle_file,param_003,src\cancellation_details.py,16,parameter
parameter,geographic_pickle_file,param_004,src\cancellation_details.py,16,parameter
parameter,output_pickle_file,param_005,src\cancellation_details.py,16,parameter
function,cleaning_description,utility_func_001,src\cleaning_description.py,14,utility
parameter,input_pickle_path,param_001,src\cleaning_description.py,14,parameter
parameter,output_pickle_path,param_002,src\cleaning_description.py,14,parameter
import_from,prompt_toolkit.shortcuts,module_l2_020,src\correlation.py,12,module
function,correlation_check,analysis_func_001,src\correlation.py,35,analysis
parameter,in_path,param_006,src\correlation.py,35,parameter
parameter,out_path,param_007,src\correlation.py,35,parameter
parameter,correlation_threshold,param_008,src\correlation.py,35,parameter
function,save_heatmap,data_saver_func_001,src\correlation.py,98,data_saver
parameter,fig,param_009,src\correlation.py,98,parameter
function,save_correlations_as_parquet,data_saver_func_002,src\correlation.py,121,data_saver
function,customers_behavior,feature_engineering_func_002,src\customers_behavior.py,16,feature_engineering
parameter,input_pickle_file,param_003,src\customers_behavior.py,16,parameter
parameter,unique_pickle_file,param_010,src\customers_behavior.py,16,parameter
parameter,output_pickle_file,param_005,src\customers_behavior.py,16,parameter
import_from,download_data,module_l1_002,src\datapipeline.py,4,module
import_from,unzip_data,module_l1_003,src\datapipeline.py,5,module
import_from,data_loader,module_l1_004,src\datapipeline.py,6,module
import_from,missing_values_handler,module_l1_005,src\datapipeline.py,7,module
import_from,duplicates_handler,module_l1_006,src\datapipeline.py,8,module
import_from,transaction_status_handler,module_l1_007,src\datapipeline.py,9,module
import_from,anomaly_code_handler,module_l1_008,src\datapipeline.py,10,module
function,load_data,data_loader_func_001,src\data_loader.py,17,data_loader
parameter,pickle_path,param_011,src\data_loader.py,17,parameter
parameter,excel_path,param_012,src\data_loader.py,17,parameter
function,ingest_data,data_loader_func_002,src\download_data.py,9,data_loader
parameter,file_url,param_013,src\download_data.py,9,parameter
function,remove_duplicates,data_cleaning_func_002,src\duplicates_handler.py,21,data_cleaning
parameter,input_pickle_path,param_001,src\duplicates_handler.py,21,parameter
parameter,output_pickle_path,param_002,src\duplicates_handler.py,21,parameter
function,geographic_features,feature_engineering_func_003,src\geographic_features.py,14,feature_engineering
parameter,input_pickle_file,param_003,src\geographic_features.py,14,parameter
parameter,behavorial_pickle_file,param_014,src\geographic_features.py,14,parameter
parameter,output_pickle_file,param_005,src\geographic_features.py,14,parameter
function,rfm_histograms,feature_engineering_func_013,src\histogram_analysis.py,19,feature_engineering
parameter,in_path,param_006,src\histogram_analysis.py,19,parameter
function,handle_missing,data_cleaning_func_003,src\missing_values_handler.py,15,data_cleaning
parameter,input_pickle_path,param_001,src\missing_values_handler.py,15,parameter
